endTime,artistName,trackName,msPlayed
2020-10-28 20:57,Papa Roach,Scars,198330
2020-10-28 21:30,Papa Roach,Scars,9855
2020-10-28 21:33,The Killers,Somebody Told Me,197160
2020-10-28 21:36,All Time Low,Weightless,198000
2020-10-28 21:39,Red Hot Chili Peppers,Can't Stop,82751
2020-10-29 01:36,Red Hot Chili Peppers,Can't Stop,186482
2020-10-29 01:37,Red Hot Chili Peppers,Parallel Universe,104172
2020-10-29 01:38,Red Hot Chili Peppers,Dani California,4365
2020-10-29 01:41,Simple Plan,I'm Just a Kid,198333
2020-10-29 01:44,Story Of The Year,Anthem of Our Dying Day,216026
2020-10-29 01:48,The Red Jumpsuit Apparatus,Face Down,192000
2020-10-29 01:51,Red Hot Chili Peppers,Scar Tissue,215906
2020-10-29 01:55,Linkin Park,In the End,216880
2020-10-29 01:56,The Fray,How to Save a Life,65155
2020-10-30 00:52,Green Day,Basket Case,181533
2020-10-30 00:56,Foster The People,Pumped Up Kicks,239600
2020-10-30 00:59,Yellowcard,Ocean Avenue,198266
2020-10-30 01:02,Bowling For Soup,1985,193000
2020-10-30 01:05,All Time Low,"Dear Maria, Count Me In",182826
2020-10-30 01:09,Plain White T's,Hey There Delilah,232533
2020-10-30 01:12,Jimmy Eat World,Bleed American,181493
2020-10-30 01:13,Weezer,Beverly Hills,7936
2020-10-30 01:15,Sugarcult,Bouncing Off The Walls,141293
2020-10-30 01:19,3 Doors Down,When I'm Gone,260333
2020-10-30 01:24,Oasis,Wonderwall,258906
2020-10-30 01:28,Red Hot Chili Peppers,Under the Bridge,264306
2020-10-30 16:08,Sum 41,Fat Lip,103796
2020-10-30 19:55,The Fray,How to Save a Life,2438
2020-10-30 19:55,Jimmy Eat World,Sweetness,6617
2020-10-30 19:59,Pierce The Veil,Caraphernelia,268480
2020-10-30 20:03,Escape the Fate,Reverse the Curse,220920
2020-10-30 20:06,Green Day,When I Come Around,178000
2020-10-30 20:11,Trapt,Headstrong,285569
2020-10-30 20:14,Weezer,Beverly Hills,15237
2020-10-30 20:14,My Chemical Romance,Helena,204733
2020-10-30 20:19,Red Hot Chili Peppers,Under the Bridge,264306
2020-10-30 20:23,Foo Fighters,The Pretender,269373
2020-10-30 20:27,Rise Against,Swing Life Away,200066
2020-10-30 20:30,Red Hot Chili Peppers,By the Way,216933
2020-10-30 20:34,Plain White T's,Hey There Delilah,232533
2020-10-30 20:38,Jimmy Eat World,Sure and Certain,215706
2020-10-30 20:41,Harvey Danger,Flagpole Sitta,217266
2020-10-30 20:44,Fall Out Boy,"Dance, Dance",180266
2020-10-30 20:48,Seether,Fake It,193893
2020-10-30 20:51,Paramore,Misery Business,211520
2020-10-30 20:53,Limp Bizkit,Break Stuff,97597
2020-10-30 20:57,Goldfinger,99 Red Balloons,229173
2020-10-30 21:00,Falling In Reverse,I'm Not A Vampire,231840
2020-10-30 21:04,No Doubt,Just A Girl,209200
2020-10-30 21:07,Finger Eleven,Paralyzer,208106
2020-10-30 21:11,Story Of The Year,Until the Day I Die,235200
2020-10-30 21:17,Red Hot Chili Peppers,Snow (Hey Oh),334666
2020-10-30 21:20,Weezer,Island In The Sun,200306
2020-10-30 21:23,Jimmy Eat World,The Middle,165853
2020-10-30 21:26,Papa Roach,Last Resort,199906
2020-10-30 21:29,Weezer,Buddy Holly,159226
2020-10-30 21:33,Foster The People,Pumped Up Kicks,239600
2020-10-30 21:36,Empire of the Sun,Walking On A Dream,198440
